Transportation_Mode,Hotel_Name,Location
Bus,Hotel Grand,Mumbai
Train,Luxury Inn,Pune
Taxi,Sunset Resort,Agonda
Metro,Ocean View,Agra
Bike,City Lodge,Ahmednagar
Car Rental,Elite Stay,Ajanta
Flight,Royal Palace,Alibaug
Boat,Greenwoods,Alchi
Tram,Skyline Hotel,Ajmer
Rickshaw,Mountain Retreat,Kolkata
Bus,Hotel Grand,Mumbai
Train,Luxury Inn,Pune
Taxi,Sunset Resort,Agonda
Metro,Ocean View,Agra
Bike,City Lodge,Ahmednagar
Car Rental,Elite Stay,Ajanta
Flight,Royal Palace,Alibaug
Boat,Greenwoods,Alchi
Tram,Skyline Hotel,Ajmer
Rickshaw,Mountain Retreat,Kolkata
Bus,Hotel Grand,Agonda
Train,Luxury Inn,Agra
Taxi,Sunset Resort,Ahmednagar
Metro,Ocean View,Ajanta
Bike,City Lodge,Alibaug
Car Rental,Elite Stay,Alchi
Flight,Royal Palace,Ajmer
Boat,Greenwoods,Mumbai
Tram,Skyline Hotel,Pune
Rickshaw,Mountain Retreat,Agonda
Bus,Hotel Grand,Agra
Train,Luxury Inn,Ahmednagar
Taxi,Sunset Resort,Ajanta
Metro,Ocean View,Alibaug
Bike,City Lodge,Alchi
Car Rental,Elite Stay,Ajmer
Flight,Royal Palace,Kolkata
Boat,Greenwoods,Mumbai
Tram,Skyline Hotel,Pune
Rickshaw,Mountain Retreat,Agonda
Bus,Hotel Grand,Agra
Train,Luxury Inn,Ahmednagar
Taxi,Sunset Resort,Ajanta
Metro,Ocean View,Alibaug
Bike,City Lodge,Alchi
Car Rental,Elite Stay,Ajmer
Flight,Royal Palace,Kolkata
Boat,Greenwoods,Mumbai
Tram,Skyline Hotel,Pune
Rickshaw,Mountain Retreat,Agonda
Bus,Hotel Grand,Agra
Train,Luxury Inn,Ahmednagar
Taxi,Sunset Resort,Ajanta
Metro,Ocean View,Alibaug
Bike,City Lodge,Alchi
Car Rental,Elite Stay,Ajmer
Flight,Royal Palace,Kolkata
Boat,Greenwoods,Mumbai
Tram,Skyline Hotel,Pune
Rickshaw,Mountain Retreat,Agonda
Bus,Hotel Grand,Agra
Train,Luxury Inn,Ahmednagar
Taxi,Sunset Resort,Ajanta
Metro,Ocean View,Alibaug
Bike,City Lodge,Alchi
Car Rental,Elite Stay,Ajmer
Flight,Royal Palace,Kolkata
Boat,Greenwoods,Kolkata
Tram,Skyline Hotel,Alibaug
Rickshaw,Mountain Retreat,Alchi
Bus,Hotel Grand,Ajmer
Train,Luxury Inn,Kolkata
Taxi,Sunset Resort,Mumbai
Metro,Ocean View,Pune
Bike,City Lodge,Agonda
Car Rental,Elite Stay,Agra
Flight,Royal Palace,Ahmednagar
Boat,Greenwoods,Ajanta
Tram,Skyline Hotel,Alibaug
Rickshaw,Mountain Retreat,Alchi
Bus,Hotel Grand,Ajmer
Train,Luxury Inn,Kolkata
Taxi,Sunset Resort,Kolkata
Metro,Ocean View,Alchi
Bike,City Lodge,Ajmer
Car Rental,Elite Stay,Kolkata
Flight,Royal Palace,Mumbai
Boat,Greenwoods,Pune
Tram,Skyline Hotel,Agonda
Rickshaw,Mountain Retreat,Agra
Bus,Hotel Grand,Ahmednagar
Train,Luxury Inn,Ajanta
Taxi,Sunset Resort,Alibaug
Metro,Ocean View,Alchi
Bike,City Lodge,Ajmer
Car Rental,Elite Stay,Kolkata
Flight,Royal Palace,Kolkata
Boat,Greenwoods,Ajmer
Tram,Skyline Hotel,Kolkata
Rickshaw,Mountain Retreat,Ajmer
